case,model,architecture,candidate_id,output_contract,schema_valid,assessable_outcome,final_contract_status,reported_disposition,consensus_score_0_1,judge_sd,critical_flags,run_directory
Two-stage amidation,GPT-5.4,One-shot,N2-81AD999E,direct_json_object_v2,False,True,not_applicable_one_shot,SCREEN,0.913461,0.095187,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/two_stage_amidation/openai_one_shot/repeat_01
Two-stage amidation,GPT-5.4,FlowPilot,N2-66CE2C7C,production_final_contract,True,True,executable,SCREEN,0.875,0.176777,1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/two_stage_amidation/openai_flowpilot/repeat_01
Exothermic dinitration,Qwen3.6-27B,One-shot,N2-721FFBB6,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.75,0.353553,2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/exothermic_dinitration/qwen_one_shot/repeat_01
Exothermic dinitration,Qwen3.6-27B,FlowPilot,N2-28BC6EB0,production_final_contract,True,True,executable,SCREEN,0.78125,0.309359,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/exothermic_dinitration/qwen_flowpilot/repeat_01
Exothermic dinitration,GPT-5.4,One-shot,N2-E1E50129,direct_json_object_v2,False,True,not_applicable_one_shot,SCREEN,0.864583,0.191508,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/exothermic_dinitration/openai_one_shot/repeat_01
Exothermic dinitration,GPT-5.4,FlowPilot,N2-B9C4306A,production_final_contract,True,True,executable,SCREEN,0.833333,0.235702,1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/exothermic_dinitration/openai_flowpilot/repeat_01
Photochemical oxidation,Qwen3.6-27B,One-shot,N2-8741705A,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.769231,0.244768,1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/photochemical_oxidation/qwen_one_shot/repeat_01
Photochemical oxidation,Qwen3.6-27B,FlowPilot,N2-2FF6EA33,production_final_contract,True,True,executable,SCREEN,0.855769,0.203973,1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/photochemical_oxidation/qwen_flowpilot/repeat_01
Photochemical oxidation,GPT-5.4,One-shot,N2-EA1F3CBC,direct_json_object_v2,False,True,not_applicable_one_shot,SCREEN,0.942308,0.08159,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/photochemical_oxidation/openai_one_shot/repeat_01
Photochemical oxidation,GPT-5.4,FlowPilot,N2-4061E17E,production_final_contract,True,True,executable,SCREEN,0.942308,0.08159,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/photochemical_oxidation/openai_flowpilot/repeat_01
