model,architecture,case,repeat_id,parameter,value
Claude Sonnet 4.6,One-shot,CuAAC,repeat_03,concentration_M,0.25
Claude Sonnet 4.6,One-shot,CuAAC,repeat_03,BPR_bar,20.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_01,residence_time_min,29.985007
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.10005
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_01,temperature_C,60.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_01,concentration_M,0.126
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_01,BPR_bar,21.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_02,residence_time_min,23.818976
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.12595
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_02,temperature_C,60.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_02,concentration_M,0.126
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_02,BPR_bar,21.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_03,residence_time_min,30.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.1
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_03,temperature_C,60.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_03,concentration_M,0.126
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,repeat_03,BPR_bar,21.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_01,residence_time_min,3.241281
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.30852
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_01,temperature_C,21.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_01,concentration_M,0.1
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_01,BPR_bar,3.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_02,residence_time_min,1.609373
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.62136
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_02,temperature_C,21.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_02,concentration_M,0.1
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_02,BPR_bar,3.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_03,residence_time_min,16.207455
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.0617
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_03,temperature_C,21.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_03,concentration_M,0.1
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,repeat_03,BPR_bar,3.0
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_01,residence_time_min,2.800075
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_01,flow_rate_mL_min,0.10714
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_01,reactor_volume_mL,0.3
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_01,temperature_C,150.0
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_01,concentration_M,0.25
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_01,BPR_bar,20.0
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_02,residence_time_min,0.5
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_02,flow_rate_mL_min,0.6
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_02,reactor_volume_mL,0.3
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_02,temperature_C,150.0
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_02,concentration_M,0.25
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_02,BPR_bar,20.0
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_03,residence_time_min,2.800075
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_03,flow_rate_mL_min,0.10714
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_03,reactor_volume_mL,0.3
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_03,temperature_C,150.0
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_03,concentration_M,0.25
Claude Sonnet 4.6,FlowPilot,CuAAC,repeat_03,BPR_bar,20.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,residence_time_min,30.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.1
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,temperature_C,60.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,concentration_M,0.126
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,residence_time_min,24.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.125
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,temperature_C,60.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,concentration_M,0.126
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,BPR_bar,21.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,residence_time_min,15.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,temperature_C,60.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,concentration_M,0.126
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,BPR_bar,21.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,residence_time_min,5.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,temperature_C,21.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,concentration_M,0.1
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,BPR_bar,3.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,residence_time_min,5.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,residence_time_min,5.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,BPR_bar,3.0
GPT-5.4,One-shot,CuAAC,repeat_01,residence_time_min,6.0
GPT-5.4,One-shot,CuAAC,repeat_01,flow_rate_mL_min,0.05
GPT-5.4,One-shot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.4,One-shot,CuAAC,repeat_01,temperature_C,130.0
GPT-5.4,One-shot,CuAAC,repeat_01,concentration_M,0.25
GPT-5.4,One-shot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.4,One-shot,CuAAC,repeat_02,residence_time_min,3.0
GPT-5.4,One-shot,CuAAC,repeat_02,flow_rate_mL_min,0.1
GPT-5.4,One-shot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.4,One-shot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.4,One-shot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.4,One-shot,CuAAC,repeat_02,BPR_bar,20.0
GPT-5.4,One-shot,CuAAC,repeat_03,residence_time_min,3.0
GPT-5.4,One-shot,CuAAC,repeat_03,flow_rate_mL_min,0.1
GPT-5.4,One-shot,CuAAC,repeat_03,reactor_volume_mL,0.3
GPT-5.4,One-shot,CuAAC,repeat_03,temperature_C,150.0
GPT-5.4,One-shot,CuAAC,repeat_03,concentration_M,0.25
GPT-5.4,One-shot,CuAAC,repeat_03,BPR_bar,20.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,residence_time_min,30.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.1
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,temperature_C,60.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,concentration_M,0.126
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,BPR_bar,21.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,residence_time_min,24.295432
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.12348
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,temperature_C,60.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,concentration_M,0.126
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,BPR_bar,21.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,residence_time_min,29.988005
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.10004
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,temperature_C,60.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,concentration_M,0.126
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,BPR_bar,21.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,residence_time_min,8.046994
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.12427
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,temperature_C,21.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,concentration_M,0.1
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,BPR_bar,3.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,residence_time_min,8.046994
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.12427
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,BPR_bar,3.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,residence_time_min,8.046994
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.12427
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,BPR_bar,3.0
GPT-5.4,FlowPilot,CuAAC,repeat_01,residence_time_min,3.0
GPT-5.4,FlowPilot,CuAAC,repeat_01,flow_rate_mL_min,0.1
GPT-5.4,FlowPilot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.4,FlowPilot,CuAAC,repeat_01,temperature_C,150.0
GPT-5.4,FlowPilot,CuAAC,repeat_01,concentration_M,0.25
GPT-5.4,FlowPilot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.4,FlowPilot,CuAAC,repeat_02,residence_time_min,3.0
GPT-5.4,FlowPilot,CuAAC,repeat_02,flow_rate_mL_min,0.1
GPT-5.4,FlowPilot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.4,FlowPilot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.4,FlowPilot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.4,FlowPilot,CuAAC,repeat_02,BPR_bar,20.0
GPT-5.4,FlowPilot,CuAAC,repeat_03,residence_time_min,0.25
GPT-5.4,FlowPilot,CuAAC,repeat_03,flow_rate_mL_min,1.2
GPT-5.4,FlowPilot,CuAAC,repeat_03,reactor_volume_mL,0.3
GPT-5.4,FlowPilot,CuAAC,repeat_03,temperature_C,150.0
GPT-5.4,FlowPilot,CuAAC,repeat_03,concentration_M,0.25
GPT-5.4,FlowPilot,CuAAC,repeat_03,BPR_bar,20.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_01,residence_time_min,30.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.1
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_01,temperature_C,60.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_01,concentration_M,0.126
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_01,BPR_bar,21.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_02,residence_time_min,300.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.01
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_02,temperature_C,60.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_02,concentration_M,0.126
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_02,BPR_bar,21.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_03,residence_time_min,10.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.3
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_03,temperature_C,60.0
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_03,concentration_M,0.126
Qwen3.6-27B,One-shot,Hydrogenolysis,repeat_03,BPR_bar,21.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_01,residence_time_min,6.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.167
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_01,temperature_C,21.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_01,concentration_M,0.1
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_01,BPR_bar,3.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_02,residence_time_min,10.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.1
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_02,temperature_C,21.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_02,concentration_M,0.1
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_02,BPR_bar,3.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_03,residence_time_min,10.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.1
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_03,temperature_C,21.0
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_03,concentration_M,0.1
Qwen3.6-27B,One-shot,Photochemical oxidation,repeat_03,BPR_bar,3.0
Qwen3.6-27B,One-shot,CuAAC,repeat_01,residence_time_min,3.0
Qwen3.6-27B,One-shot,CuAAC,repeat_01,flow_rate_mL_min,0.1
Qwen3.6-27B,One-shot,CuAAC,repeat_01,reactor_volume_mL,0.3
Qwen3.6-27B,One-shot,CuAAC,repeat_01,temperature_C,150.0
Qwen3.6-27B,One-shot,CuAAC,repeat_01,concentration_M,0.25
Qwen3.6-27B,One-shot,CuAAC,repeat_01,BPR_bar,20.0
Qwen3.6-27B,One-shot,CuAAC,repeat_02,residence_time_min,1.0
Qwen3.6-27B,One-shot,CuAAC,repeat_02,flow_rate_mL_min,0.3
Qwen3.6-27B,One-shot,CuAAC,repeat_02,reactor_volume_mL,0.3
Qwen3.6-27B,One-shot,CuAAC,repeat_02,temperature_C,150.0
Qwen3.6-27B,One-shot,CuAAC,repeat_02,concentration_M,0.25
Qwen3.6-27B,One-shot,CuAAC,repeat_02,BPR_bar,20.0
Qwen3.6-27B,One-shot,CuAAC,repeat_03,residence_time_min,3.0
Qwen3.6-27B,One-shot,CuAAC,repeat_03,flow_rate_mL_min,0.1
Qwen3.6-27B,One-shot,CuAAC,repeat_03,reactor_volume_mL,0.3
Qwen3.6-27B,One-shot,CuAAC,repeat_03,temperature_C,150.0
Qwen3.6-27B,One-shot,CuAAC,repeat_03,concentration_M,0.25
Qwen3.6-27B,One-shot,CuAAC,repeat_03,BPR_bar,20.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_01,residence_time_min,21.896212
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.13701
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_01,temperature_C,60.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_01,concentration_M,0.126
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_01,BPR_bar,21.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_02,residence_time_min,25.372124
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.11824
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_02,temperature_C,60.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_02,concentration_M,0.126
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_02,BPR_bar,21.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_03,residence_time_min,20.27438
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.14797
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_03,temperature_C,60.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_03,concentration_M,0.126
Qwen3.6-27B,FlowPilot,Hydrogenolysis,repeat_03,BPR_bar,21.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_01,residence_time_min,1.609373
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.62136
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_01,temperature_C,21.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_01,concentration_M,0.1
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_01,BPR_bar,3.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_02,residence_time_min,1.609373
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.62136
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_02,temperature_C,21.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_02,concentration_M,0.1
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_02,BPR_bar,3.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_03,residence_time_min,1.609373
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.62136
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_03,temperature_C,21.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_03,concentration_M,0.1
Qwen3.6-27B,FlowPilot,Photochemical oxidation,repeat_03,BPR_bar,3.0
Qwen3.6-27B,FlowPilot,CuAAC,repeat_01,residence_time_min,0.5
Qwen3.6-27B,FlowPilot,CuAAC,repeat_01,flow_rate_mL_min,0.6
Qwen3.6-27B,FlowPilot,CuAAC,repeat_01,reactor_volume_mL,0.3
Qwen3.6-27B,FlowPilot,CuAAC,repeat_01,temperature_C,150.0
Qwen3.6-27B,FlowPilot,CuAAC,repeat_01,concentration_M,0.25
Qwen3.6-27B,FlowPilot,CuAAC,repeat_01,BPR_bar,20.0
Qwen3.6-27B,FlowPilot,CuAAC,repeat_02,residence_time_min,2.800075
Qwen3.6-27B,FlowPilot,CuAAC,repeat_02,flow_rate_mL_min,0.10714
Qwen3.6-27B,FlowPilot,CuAAC,repeat_02,reactor_volume_mL,0.3
Qwen3.6-27B,FlowPilot,CuAAC,repeat_02,temperature_C,150.0
Qwen3.6-27B,FlowPilot,CuAAC,repeat_02,concentration_M,0.25
Qwen3.6-27B,FlowPilot,CuAAC,repeat_02,BPR_bar,20.0
Qwen3.6-27B,FlowPilot,CuAAC,repeat_03,residence_time_min,2.700027
Qwen3.6-27B,FlowPilot,CuAAC,repeat_03,flow_rate_mL_min,0.11111
Qwen3.6-27B,FlowPilot,CuAAC,repeat_03,reactor_volume_mL,0.3
Qwen3.6-27B,FlowPilot,CuAAC,repeat_03,temperature_C,150.0
Qwen3.6-27B,FlowPilot,CuAAC,repeat_03,concentration_M,0.25
Qwen3.6-27B,FlowPilot,CuAAC,repeat_03,BPR_bar,20.0
