model,architecture,case,repeat_id,parameter,value
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,temperature_C,60.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,concentration_M,0.126
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,BPR_bar,21.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,residence_time_min,8.046994
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.12427
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,temperature_C,21.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,concentration_M,0.1
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_01,BPR_bar,3.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,residence_time_min,8.046994
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.12427
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_02,BPR_bar,3.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,residence_time_min,8.965072
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.111544
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.4,FlowPilot,Photochemical oxidation,repeat_03,BPR_bar,3.0
GPT-5.4,FlowPilot,CuAAC,repeat_01,residence_time_min,0.12
GPT-5.4,FlowPilot,CuAAC,repeat_01,flow_rate_mL_min,2.5
GPT-5.4,FlowPilot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.4,FlowPilot,CuAAC,repeat_01,temperature_C,150.0
GPT-5.4,FlowPilot,CuAAC,repeat_01,concentration_M,0.25
GPT-5.4,FlowPilot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.4,FlowPilot,CuAAC,repeat_02,residence_time_min,0.25
GPT-5.4,FlowPilot,CuAAC,repeat_02,flow_rate_mL_min,1.2
GPT-5.4,FlowPilot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.4,FlowPilot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.4,FlowPilot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.4,FlowPilot,CuAAC,repeat_02,BPR_bar,20.0
GPT-5.4,FlowPilot,CuAAC,repeat_03,residence_time_min,2.700027
GPT-5.4,FlowPilot,CuAAC,repeat_03,flow_rate_mL_min,0.11111
GPT-5.4,FlowPilot,CuAAC,repeat_03,reactor_volume_mL,0.3
GPT-5.4,FlowPilot,CuAAC,repeat_03,temperature_C,150.0
GPT-5.4,FlowPilot,CuAAC,repeat_03,concentration_M,0.25
GPT-5.4,FlowPilot,CuAAC,repeat_03,BPR_bar,20.0
