category_key,category_label,chemistry_class,count
residence_time,Residence Time,Cross-Coupling,30
residence_time,Residence Time,Hydrogenation,22
residence_time,Residence Time,Oxidation / Reduction,31
residence_time,Residence Time,Electrochemistry,2
residence_time,Residence Time,Biocatalysis,6
residence_time,Residence Time,Polymer Synthesis,26
residence_time,Residence Time,Organocatalysis,6
residence_time,Residence Time,Precipitation / Crystallization,3
photochemistry,Photochemistry,Photoredox Catalysis,126
photochemistry,Photochemistry,Heterogeneous Photocatalysis,81
photochemistry,Photochemistry,Photocycloaddition,33
photochemistry,Photochemistry,Thermal Synthesis,3
photochemistry,Photochemistry,Cross-Coupling,18
photochemistry,Photochemistry,Hydrogenation,0
photochemistry,Photochemistry,Oxidation / Reduction,20
photochemistry,Photochemistry,Electrochemistry,1
photochemistry,Photochemistry,Biocatalysis,0
photochemistry,Photochemistry,Polymer Synthesis,15
photochemistry,Photochemistry,Organocatalysis,0
photochemistry,Photochemistry,Precipitation / Crystallization,0
materials,Materials,Photoredox Catalysis,4
materials,Materials,Heterogeneous Photocatalysis,7
materials,Materials,Photocycloaddition,2
materials,Materials,Thermal Synthesis,6
materials,Materials,Cross-Coupling,8
materials,Materials,Hydrogenation,12
materials,Materials,Oxidation / Reduction,17
materials,Materials,Electrochemistry,8
materials,Materials,Biocatalysis,7
materials,Materials,Polymer Synthesis,21
materials,Materials,Organocatalysis,0
materials,Materials,Precipitation / Crystallization,3
scale_up,Scale-Up,Photoredox Catalysis,6
scale_up,Scale-Up,Heterogeneous Photocatalysis,6
scale_up,Scale-Up,Photocycloaddition,1
scale_up,Scale-Up,Thermal Synthesis,14
scale_up,Scale-Up,Cross-Coupling,11
scale_up,Scale-Up,Hydrogenation,16
scale_up,Scale-Up,Oxidation / Reduction,13
scale_up,Scale-Up,Electrochemistry,3
scale_up,Scale-Up,Biocatalysis,3
scale_up,Scale-Up,Polymer Synthesis,16
scale_up,Scale-Up,Organocatalysis,1
scale_up,Scale-Up,Precipitation / Crystallization,8
pressure,Pressure,Photoredox Catalysis,0
pressure,Pressure,Heterogeneous Photocatalysis,0
pressure,Pressure,Photocycloaddition,1
pressure,Pressure,Thermal Synthesis,24
pressure,Pressure,Cross-Coupling,10
pressure,Pressure,Hydrogenation,37
pressure,Pressure,Oxidation / Reduction,29
pressure,Pressure,Electrochemistry,2
pressure,Pressure,Biocatalysis,5
pressure,Pressure,Polymer Synthesis,9
pressure,Pressure,Organocatalysis,0
pressure,Pressure,Precipitation / Crystallization,0
mixing,Mixing,Photoredox Catalysis,1
mixing,Mixing,Heterogeneous Photocatalysis,2
mixing,Mixing,Photocycloaddition,0
mixing,Mixing,Thermal Synthesis,5
mixing,Mixing,Cross-Coupling,6
mixing,Mixing,Hydrogenation,14
mixing,Mixing,Oxidation / Reduction,16
mixing,Mixing,Electrochemistry,3
mixing,Mixing,Biocatalysis,1
mixing,Mixing,Polymer Synthesis,8
mixing,Mixing,Organocatalysis,2
mixing,Mixing,Precipitation / Crystallization,5
safety,Safety,Photoredox Catalysis,2
safety,Safety,Heterogeneous Photocatalysis,1
safety,Safety,Photocycloaddition,1
safety,Safety,Thermal Synthesis,13
safety,Safety,Cross-Coupling,6
safety,Safety,Hydrogenation,13
safety,Safety,Oxidation / Reduction,24
safety,Safety,Electrochemistry,3
safety,Safety,Biocatalysis,1
safety,Safety,Polymer Synthesis,1
safety,Safety,Organocatalysis,1
safety,Safety,Precipitation / Crystallization,1
solvent,Solvent,Photoredox Catalysis,4
solvent,Solvent,Heterogeneous Photocatalysis,4
solvent,Solvent,Photocycloaddition,0
solvent,Solvent,Thermal Synthesis,12
solvent,Solvent,Cross-Coupling,12
solvent,Solvent,Hydrogenation,9
solvent,Solvent,Oxidation / Reduction,9
solvent,Solvent,Electrochemistry,4
solvent,Solvent,Biocatalysis,2
solvent,Solvent,Polymer Synthesis,6
solvent,Solvent,Organocatalysis,1
solvent,Solvent,Precipitation / Crystallization,4
mass_transfer,Mass Transfer,Photoredox Catalysis,1
mass_transfer,Mass Transfer,Heterogeneous Photocatalysis,1
mass_transfer,Mass Transfer,Photocycloaddition,0
mass_transfer,Mass Transfer,Thermal Synthesis,0
mass_transfer,Mass Transfer,Cross-Coupling,2
mass_transfer,Mass Transfer,Hydrogenation,19
mass_transfer,Mass Transfer,Oxidation / Reduction,20
mass_transfer,Mass Transfer,Electrochemistry,1
mass_transfer,Mass Transfer,Biocatalysis,2
mass_transfer,Mass Transfer,Polymer Synthesis,2
mass_transfer,Mass Transfer,Organocatalysis,0
mass_transfer,Mass Transfer,Precipitation / Crystallization,3
temperature,Temperature,Photoredox Catalysis,0
temperature,Temperature,Heterogeneous Photocatalysis,0
temperature,Temperature,Photocycloaddition,0
temperature,Temperature,Thermal Synthesis,19
temperature,Temperature,Cross-Coupling,11
temperature,Temperature,Hydrogenation,4
temperature,Temperature,Oxidation / Reduction,6
temperature,Temperature,Electrochemistry,1
temperature,Temperature,Biocatalysis,1
temperature,Temperature,Polymer Synthesis,0
temperature,Temperature,Organocatalysis,2
temperature,Temperature,Precipitation / Crystallization,0
electrochemistry,Electrochemistry,Photoredox Catalysis,0
electrochemistry,Electrochemistry,Heterogeneous Photocatalysis,0
electrochemistry,Electrochemistry,Photocycloaddition,0
electrochemistry,Electrochemistry,Thermal Synthesis,0
electrochemistry,Electrochemistry,Cross-Coupling,1
electrochemistry,Electrochemistry,Hydrogenation,1
electrochemistry,Electrochemistry,Oxidation / Reduction,16
electrochemistry,Electrochemistry,Electrochemistry,33
electrochemistry,Electrochemistry,Biocatalysis,0
electrochemistry,Electrochemistry,Polymer Synthesis,0
electrochemistry,Electrochemistry,Organocatalysis,0
electrochemistry,Electrochemistry,Precipitation / Crystallization,0
nucleophilic_reactions,Nucleophilic Reactions,Photoredox Catalysis,0
nucleophilic_reactions,Nucleophilic Reactions,Heterogeneous Photocatalysis,0
nucleophilic_reactions,Nucleophilic Reactions,Photocycloaddition,0
nucleophilic_reactions,Nucleophilic Reactions,Thermal Synthesis,1
nucleophilic_reactions,Nucleophilic Reactions,Cross-Coupling,3
nucleophilic_reactions,Nucleophilic Reactions,Hydrogenation,0
nucleophilic_reactions,Nucleophilic Reactions,Oxidation / Reduction,0
nucleophilic_reactions,Nucleophilic Reactions,Electrochemistry,0
nucleophilic_reactions,Nucleophilic Reactions,Biocatalysis,0
nucleophilic_reactions,Nucleophilic Reactions,Polymer Synthesis,0
nucleophilic_reactions,Nucleophilic Reactions,Organocatalysis,0
nucleophilic_reactions,Nucleophilic Reactions,Precipitation / Crystallization,0
biocatalysis,Biocatalysis,Photoredox Catalysis,0
biocatalysis,Biocatalysis,Heterogeneous Photocatalysis,0
biocatalysis,Biocatalysis,Photocycloaddition,0
biocatalysis,Biocatalysis,Thermal Synthesis,0
biocatalysis,Biocatalysis,Cross-Coupling,0
biocatalysis,Biocatalysis,Hydrogenation,1
biocatalysis,Biocatalysis,Oxidation / Reduction,0
biocatalysis,Biocatalysis,Electrochemistry,0
biocatalysis,Biocatalysis,Biocatalysis,7
biocatalysis,Biocatalysis,Polymer Synthesis,1
biocatalysis,Biocatalysis,Organocatalysis,0
biocatalysis,Biocatalysis,Precipitation / Crystallization,0
coupling_reactions,Coupling Reactions,Photoredox Catalysis,0
coupling_reactions,Coupling Reactions,Heterogeneous Photocatalysis,0
coupling_reactions,Coupling Reactions,Photocycloaddition,0
coupling_reactions,Coupling Reactions,Thermal Synthesis,0
coupling_reactions,Coupling Reactions,Cross-Coupling,5
coupling_reactions,Coupling Reactions,Hydrogenation,0
coupling_reactions,Coupling Reactions,Oxidation / Reduction,0
coupling_reactions,Coupling Reactions,Electrochemistry,0
coupling_reactions,Coupling Reactions,Biocatalysis,0
coupling_reactions,Coupling Reactions,Polymer Synthesis,0
coupling_reactions,Coupling Reactions,Organocatalysis,0
coupling_reactions,Coupling Reactions,Precipitation / Crystallization,0
reaction_conditions,Reaction Conditions,Photoredox Catalysis,0
reaction_conditions,Reaction Conditions,Heterogeneous Photocatalysis,0
reaction_conditions,Reaction Conditions,Photocycloaddition,0
reaction_conditions,Reaction Conditions,Thermal Synthesis,1
reaction_conditions,Reaction Conditions,Cross-Coupling,0
reaction_conditions,Reaction Conditions,Hydrogenation,0
reaction_conditions,Reaction Conditions,Oxidation / Reduction,0
reaction_conditions,Reaction Conditions,Electrochemistry,0
reaction_conditions,Reaction Conditions,Biocatalysis,0
reaction_conditions,Reaction Conditions,Polymer Synthesis,0
reaction_conditions,Reaction Conditions,Organocatalysis,1
reaction_conditions,Reaction Conditions,Precipitation / Crystallization,0
concentration,Concentration,Photoredox Catalysis,0
concentration,Concentration,Heterogeneous Photocatalysis,0
concentration,Concentration,Photocycloaddition,0
concentration,Concentration,Thermal Synthesis,1
concentration,Concentration,Cross-Coupling,2
concentration,Concentration,Hydrogenation,2
concentration,Concentration,Oxidation / Reduction,2
concentration,Concentration,Electrochemistry,0
concentration,Concentration,Biocatalysis,0
concentration,Concentration,Polymer Synthesis,0
concentration,Concentration,Organocatalysis,0
concentration,Concentration,Precipitation / Crystallization,0
