candidate_id,track,generator_model,generator_family,architecture,case,criterion_id,median_score,mean_score,rating_count,score_sd
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,A-02,2.0,1.5555555555555556,9,0.5270462766947299
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,A-03,2.0,1.8888888888888888,9,0.3333333333333333
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,A-04,2.0,2.0,9,0.0
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,A-05,1.0,1.5555555555555556,9,0.7264831572567789
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,A-06,1.0,1.3333333333333333,9,0.5
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,O-01,4.0,3.3333333333333335,9,1.0
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,O-02,1.0,1.4444444444444444,9,0.5270462766947299
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,O-03,3.0,3.0,9,0.0
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,O-04,4.0,3.6666666666666665,9,0.5
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,O-05,3.0,3.0,9,0.8660254037844386
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,O-06,2.0,2.3333333333333335,9,0.5
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,A-01,2.0,2.2222222222222223,9,1.3944333775567925
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,A-02,1.0,2.0,9,1.3228756555322954
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,A-03,1.0,1.5555555555555556,9,0.8819171036881969
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,A-04,1.0,1.1111111111111112,9,1.2692955176439846
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,A-05,1.0,1.8888888888888888,9,1.3642254619787417
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,A-06,2.0,1.8888888888888888,9,1.536590742882148
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,O-01,3.0,3.2222222222222223,9,0.6666666666666666
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,O-02,1.0,2.0,9,1.5
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,O-03,3.0,3.0,9,0.8660254037844386
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,O-04,4.0,3.5555555555555554,9,0.52704627669473
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,O-05,3.0,3.0,9,0.8660254037844386
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,O-06,2.0,2.6666666666666665,9,1.0
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,A-01,0.0,0.3333333333333333,9,0.5
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,A-02,1.0,0.6666666666666666,9,0.5
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,A-03,0.0,0.3333333333333333,9,0.5
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,A-04,0.0,0.2222222222222222,9,0.4409585518440985
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,A-05,1.0,0.6666666666666666,9,0.5
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,A-06,0.0,0.0,9,0.0
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,O-01,3.0,3.0,9,0.8660254037844386
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,O-02,1.0,1.0,9,0.0
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,O-03,2.0,2.3333333333333335,9,0.5
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,O-04,1.0,0.7777777777777778,9,0.6666666666666667
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,O-05,2.0,2.5555555555555554,9,0.881917103688197
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,O-06,1.0,1.1111111111111112,9,0.3333333333333333
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,A-01,1.0,1.0,9,0.0
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,A-02,1.0,1.3333333333333333,9,0.5
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,A-03,1.0,1.3333333333333333,9,0.5
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,A-04,1.0,1.0,9,0.5
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,A-05,2.0,1.7777777777777777,9,0.4409585518440984
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,A-06,1.0,1.2222222222222223,9,0.44095855184409843
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,O-01,3.0,3.0,9,0.8660254037844386
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,O-02,1.0,1.3333333333333333,9,0.5
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,O-03,3.0,2.6666666666666665,9,0.5
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,O-04,3.0,3.2222222222222223,9,0.8333333333333334
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,O-05,2.0,2.6666666666666665,9,0.8660254037844385
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,O-06,2.0,1.7777777777777777,9,0.4409585518440984
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,A-01,2.0,1.6666666666666667,9,0.5
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,A-02,2.0,1.6666666666666667,9,0.5
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,A-03,2.0,1.6666666666666667,9,0.49999999999999994
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,A-04,2.0,2.111111111111111,9,0.3333333333333334
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,A-05,2.0,1.7777777777777777,9,0.8333333333333334
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,A-06,2.0,1.6666666666666667,9,0.5
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,O-01,4.0,3.6666666666666665,9,0.5
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,O-02,3.0,3.111111111111111,9,0.9279607271383369
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,O-03,3.0,3.3333333333333335,9,0.5
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,O-04,4.0,3.6666666666666665,9,0.5
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,O-05,2.0,2.3333333333333335,9,0.5
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,O-06,3.0,3.0,9,0.8660254037844386
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,A-01,2.0,2.6666666666666665,9,1.0
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,A-02,3.0,2.888888888888889,9,0.9279607271383371
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,A-03,2.0,2.4444444444444446,9,1.2360330811826103
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,A-04,2.0,2.3333333333333335,9,0.5
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,A-05,1.0,2.111111111111111,9,1.452966314513558
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,A-06,2.0,2.2222222222222223,9,1.3944333775567925
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,O-01,2.0,2.0,9,0.0
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,O-02,2.0,2.0,9,0.8660254037844386
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,O-03,3.0,3.4444444444444446,9,0.5270462766947299
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,O-04,3.0,3.3333333333333335,9,0.5
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,O-05,3.0,3.3333333333333335,9,0.5
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,O-06,2.0,2.4444444444444446,9,0.5270462766947299
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,A-01,1.0,0.6666666666666666,9,0.5
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,A-02,1.0,1.3333333333333333,9,0.49999999999999994
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,A-03,1.0,1.4444444444444444,9,0.7264831572567788
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,A-04,1.0,1.3333333333333333,9,0.5
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,A-05,2.0,1.5555555555555556,9,0.5270462766947299
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,A-06,1.0,1.2222222222222223,9,0.4409585518440984
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,O-01,2.0,2.3333333333333335,9,0.5
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,O-02,1.0,1.0,9,0.0
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,O-03,3.0,3.2222222222222223,9,0.4409585518440984
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,O-04,2.0,2.4444444444444446,9,0.7264831572567788
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,O-05,3.0,3.0,9,0.7071067811865475
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,O-06,2.0,2.3333333333333335,9,0.7071067811865476
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,A-01,2.0,1.6666666666666667,9,0.5
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,A-02,2.0,1.7777777777777777,9,0.44095855184409843
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,A-03,1.0,1.4444444444444444,9,0.5270462766947299
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,A-04,2.0,1.8888888888888888,9,0.6009252125773314
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,A-05,2.0,2.0,9,0.8660254037844386
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,A-06,2.0,1.8888888888888888,9,0.3333333333333333
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,O-01,3.0,2.888888888888889,9,0.9279607271383371
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,O-02,2.0,2.6666666666666665,9,1.118033988749895
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,O-03,2.0,2.6666666666666665,9,1.0
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,O-04,3.0,3.2222222222222223,9,0.6666666666666669
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,O-05,2.0,2.2222222222222223,9,0.6666666666666666
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,O-06,2.0,2.6666666666666665,9,1.0
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,A-01,1.0,0.6666666666666666,9,0.5
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,A-02,1.0,1.0,9,0.0
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,A-03,1.0,1.3333333333333333,9,0.5
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,A-04,1.0,1.3333333333333333,9,0.5
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,A-05,1.0,1.3333333333333333,9,0.5
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,A-06,1.0,1.3333333333333333,9,0.5
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,O-01,2.0,2.4444444444444446,9,0.7264831572567789
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,O-02,2.0,2.3333333333333335,9,1.3228756555322954
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,O-03,2.0,2.6666666666666665,9,1.0
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,O-04,3.0,3.3333333333333335,9,0.5
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,O-05,2.0,2.4444444444444446,9,0.7264831572567789
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,O-06,2.0,2.6666666666666665,9,1.0
