judge,judge_family,track,candidate_id,repeat,status,initial_status,attempt_count,duration_seconds,generator_model,generator_family,architecture,case
claude,anthropic,outcome,C-0D427C,2,valid,valid,1,44.594,GPT-5.4,openai,One-shot,Hydrogenolysis
claude,anthropic,outcome,C-0D427C,3,valid,valid,1,55.949,GPT-5.4,openai,One-shot,Hydrogenolysis
claude,anthropic,outcome,C-0E0B36,1,valid,valid,1,50.119,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
claude,anthropic,outcome,C-0E0B36,2,valid,valid,1,42.751,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
claude,anthropic,outcome,C-0E0B36,3,valid,valid,1,42.66,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
claude,anthropic,outcome,C-318DBB,1,valid,valid,1,41.99,GPT-5.4,openai,One-shot,CuAAC
claude,anthropic,outcome,C-318DBB,2,valid,valid,1,40.804,GPT-5.4,openai,One-shot,CuAAC
claude,anthropic,outcome,C-318DBB,3,valid,valid,1,46.709,GPT-5.4,openai,One-shot,CuAAC
claude,anthropic,outcome,C-3AF023,1,valid,valid,1,62.341,GPT-5.4,openai,FlowPilot,Hydrogenolysis
claude,anthropic,outcome,C-3AF023,2,valid,valid,1,53.465,GPT-5.4,openai,FlowPilot,Hydrogenolysis
claude,anthropic,outcome,C-3AF023,3,valid,valid,1,62.841,GPT-5.4,openai,FlowPilot,Hydrogenolysis
claude,anthropic,outcome,C-5C3C78,1,valid,valid,1,37.043,Qwen3.6-27B,qwen,One-shot,CuAAC
claude,anthropic,outcome,C-5C3C78,2,valid,valid,1,42.518,Qwen3.6-27B,qwen,One-shot,CuAAC
claude,anthropic,outcome,C-5C3C78,3,valid,valid,1,35.967,Qwen3.6-27B,qwen,One-shot,CuAAC
claude,anthropic,outcome,C-5C6BE3,1,valid,valid,1,52.327,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
claude,anthropic,outcome,C-5C6BE3,2,valid,valid,1,46.463,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
claude,anthropic,outcome,C-5C6BE3,3,valid,valid,1,46.327,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
claude,anthropic,outcome,C-80D8E0,1,valid,valid,1,58.766,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
claude,anthropic,outcome,C-80D8E0,2,valid,valid,1,57.73,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
claude,anthropic,outcome,C-80D8E0,3,valid,valid,1,56.863,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
claude,anthropic,outcome,C-9817DC,1,valid,valid,1,41.514,GPT-5.4,openai,FlowPilot,CuAAC
claude,anthropic,outcome,C-9817DC,2,valid,valid,1,43.211,GPT-5.4,openai,FlowPilot,CuAAC
claude,anthropic,outcome,C-9817DC,3,valid,valid,1,46.035,GPT-5.4,openai,FlowPilot,CuAAC
claude,anthropic,outcome,C-C758FC,1,valid,valid,1,59.859,GPT-5.4,openai,One-shot,Two-stage amidation
claude,anthropic,outcome,C-C758FC,2,valid,valid,1,50.415,GPT-5.4,openai,One-shot,Two-stage amidation
claude,anthropic,outcome,C-C758FC,3,valid,valid,1,55.114,GPT-5.4,openai,One-shot,Two-stage amidation
claude,anthropic,outcome,C-C97D43,1,valid,valid,1,56.422,GPT-5.4,openai,FlowPilot,Two-stage amidation
claude,anthropic,outcome,C-C97D43,2,valid,valid,1,61.06,GPT-5.4,openai,FlowPilot,Two-stage amidation
claude,anthropic,outcome,C-C97D43,3,valid,valid,1,54.506,GPT-5.4,openai,FlowPilot,Two-stage amidation
claude,anthropic,outcome,C-D21BCD,1,valid,valid,1,42.624,Qwen3.6-27B,qwen,FlowPilot,CuAAC
claude,anthropic,outcome,C-D21BCD,2,valid,valid,1,41.027,Qwen3.6-27B,qwen,FlowPilot,CuAAC
claude,anthropic,outcome,C-D21BCD,3,valid,valid,1,40.535,Qwen3.6-27B,qwen,FlowPilot,CuAAC
claude,anthropic,outcome,C-F9B3B8,1,valid,valid,1,50.689,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
claude,anthropic,outcome,C-F9B3B8,2,valid,valid,1,58.902,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
claude,anthropic,outcome,C-F9B3B8,3,valid,valid,1,56.087,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
openai,openai,assurance,C-0D427C,1,valid,valid,1,13.106,GPT-5.4,openai,One-shot,Hydrogenolysis
openai,openai,assurance,C-0D427C,2,valid,valid,1,10.752,GPT-5.4,openai,One-shot,Hydrogenolysis
openai,openai,assurance,C-0D427C,3,valid,valid,1,11.468,GPT-5.4,openai,One-shot,Hydrogenolysis
openai,openai,assurance,C-0E0B36,1,valid,valid,1,11.934,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
openai,openai,assurance,C-0E0B36,2,valid,valid,1,14.074,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
openai,openai,assurance,C-0E0B36,3,valid,valid,1,12.213,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
openai,openai,assurance,C-318DBB,1,valid,valid,1,13.118,GPT-5.4,openai,One-shot,CuAAC
openai,openai,assurance,C-318DBB,2,valid,valid,1,11.175,GPT-5.4,openai,One-shot,CuAAC
openai,openai,assurance,C-318DBB,3,valid,valid,1,12.102,GPT-5.4,openai,One-shot,CuAAC
openai,openai,assurance,C-3AF023,1,valid,valid,1,20.935,GPT-5.4,openai,FlowPilot,Hydrogenolysis
openai,openai,assurance,C-3AF023,2,valid,valid,1,16.656,GPT-5.4,openai,FlowPilot,Hydrogenolysis
openai,openai,assurance,C-3AF023,3,valid,valid,1,15.919,GPT-5.4,openai,FlowPilot,Hydrogenolysis
openai,openai,assurance,C-5C3C78,1,valid,valid,1,11.471,Qwen3.6-27B,qwen,One-shot,CuAAC
openai,openai,assurance,C-5C3C78,2,valid,valid,1,10.919,Qwen3.6-27B,qwen,One-shot,CuAAC
openai,openai,assurance,C-5C3C78,3,valid,valid,1,12.635,Qwen3.6-27B,qwen,One-shot,CuAAC
openai,openai,assurance,C-5C6BE3,1,valid,valid,1,14.243,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
openai,openai,assurance,C-5C6BE3,2,valid,valid,1,12.797,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
openai,openai,assurance,C-5C6BE3,3,valid,valid,1,11.659,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
openai,openai,assurance,C-80D8E0,1,valid,valid,1,18.755,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
openai,openai,assurance,C-80D8E0,2,valid,valid,1,20.394,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
openai,openai,assurance,C-80D8E0,3,valid,valid,1,20.535,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
openai,openai,assurance,C-9817DC,1,valid,valid,1,19.778,GPT-5.4,openai,FlowPilot,CuAAC
openai,openai,assurance,C-9817DC,2,valid,valid,1,15.915,GPT-5.4,openai,FlowPilot,CuAAC
openai,openai,assurance,C-9817DC,3,valid,valid,1,17.919,GPT-5.4,openai,FlowPilot,CuAAC
openai,openai,assurance,C-C758FC,1,valid,valid,1,11.957,GPT-5.4,openai,One-shot,Two-stage amidation
openai,openai,assurance,C-C758FC,2,valid,valid,1,11.818,GPT-5.4,openai,One-shot,Two-stage amidation
openai,openai,assurance,C-C758FC,3,valid,valid,1,11.893,GPT-5.4,openai,One-shot,Two-stage amidation
openai,openai,assurance,C-C97D43,1,valid,valid,1,17.302,GPT-5.4,openai,FlowPilot,Two-stage amidation
openai,openai,assurance,C-C97D43,2,valid,valid,1,19.034,GPT-5.4,openai,FlowPilot,Two-stage amidation
openai,openai,assurance,C-C97D43,3,valid,valid,1,18.469,GPT-5.4,openai,FlowPilot,Two-stage amidation
openai,openai,assurance,C-D21BCD,1,valid,valid,1,14.696,Qwen3.6-27B,qwen,FlowPilot,CuAAC
openai,openai,assurance,C-D21BCD,2,valid,valid,1,17.779,Qwen3.6-27B,qwen,FlowPilot,CuAAC
openai,openai,assurance,C-D21BCD,3,valid,valid,1,16.011,Qwen3.6-27B,qwen,FlowPilot,CuAAC
openai,openai,assurance,C-F9B3B8,1,valid,valid,1,21.685,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
openai,openai,assurance,C-F9B3B8,2,valid,valid,1,19.285,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
openai,openai,assurance,C-F9B3B8,3,valid,valid,1,18.815,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
openai,openai,outcome,C-0D427C,1,valid,valid,1,11.39,GPT-5.4,openai,One-shot,Hydrogenolysis
openai,openai,outcome,C-0D427C,2,valid,valid,1,13.947,GPT-5.4,openai,One-shot,Hydrogenolysis
openai,openai,outcome,C-0D427C,3,valid,valid,1,11.608,GPT-5.4,openai,One-shot,Hydrogenolysis
openai,openai,outcome,C-0E0B36,1,valid,valid,1,14.694,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
openai,openai,outcome,C-0E0B36,2,valid,valid,1,15.88,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
openai,openai,outcome,C-0E0B36,3,valid,valid,1,15.317,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
openai,openai,outcome,C-318DBB,1,valid,valid,1,12.994,GPT-5.4,openai,One-shot,CuAAC
openai,openai,outcome,C-318DBB,2,valid,valid,1,16.388,GPT-5.4,openai,One-shot,CuAAC
openai,openai,outcome,C-318DBB,3,valid,valid,1,16.153,GPT-5.4,openai,One-shot,CuAAC
openai,openai,outcome,C-3AF023,1,valid,valid,1,14.457,GPT-5.4,openai,FlowPilot,Hydrogenolysis
openai,openai,outcome,C-3AF023,2,valid,valid,1,13.205,GPT-5.4,openai,FlowPilot,Hydrogenolysis
openai,openai,outcome,C-3AF023,3,valid,valid,1,13.971,GPT-5.4,openai,FlowPilot,Hydrogenolysis
openai,openai,outcome,C-5C3C78,1,valid,valid,1,13.183,Qwen3.6-27B,qwen,One-shot,CuAAC
openai,openai,outcome,C-5C3C78,2,valid,valid,1,13.781,Qwen3.6-27B,qwen,One-shot,CuAAC
openai,openai,outcome,C-5C3C78,3,valid,valid,1,11.949,Qwen3.6-27B,qwen,One-shot,CuAAC
openai,openai,outcome,C-5C6BE3,1,valid,valid,1,15.003,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
openai,openai,outcome,C-5C6BE3,2,valid,valid,1,14.709,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
openai,openai,outcome,C-5C6BE3,3,valid,valid,1,13.391,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
openai,openai,outcome,C-80D8E0,1,valid,valid,1,13.391,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
openai,openai,outcome,C-80D8E0,2,valid,valid,1,15.659,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
openai,openai,outcome,C-80D8E0,3,valid,valid,1,12.456,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
openai,openai,outcome,C-9817DC,1,valid,valid,1,11.847,GPT-5.4,openai,FlowPilot,CuAAC
openai,openai,outcome,C-9817DC,2,valid,valid,1,10.319,GPT-5.4,openai,FlowPilot,CuAAC
openai,openai,outcome,C-9817DC,3,valid,valid,1,13.905,GPT-5.4,openai,FlowPilot,CuAAC
openai,openai,outcome,C-C758FC,1,valid,valid,1,16.183,GPT-5.4,openai,One-shot,Two-stage amidation
openai,openai,outcome,C-C758FC,2,valid,valid,1,14.737,GPT-5.4,openai,One-shot,Two-stage amidation
openai,openai,outcome,C-C758FC,3,valid,valid,1,14.691,GPT-5.4,openai,One-shot,Two-stage amidation
openai,openai,outcome,C-C97D43,1,valid,valid,1,15.11,GPT-5.4,openai,FlowPilot,Two-stage amidation
openai,openai,outcome,C-C97D43,2,valid,valid,1,17.94,GPT-5.4,openai,FlowPilot,Two-stage amidation
openai,openai,outcome,C-C97D43,3,valid,valid,1,15.369,GPT-5.4,openai,FlowPilot,Two-stage amidation
openai,openai,outcome,C-D21BCD,1,valid,valid,1,13.003,Qwen3.6-27B,qwen,FlowPilot,CuAAC
openai,openai,outcome,C-D21BCD,2,valid,valid,1,15.622,Qwen3.6-27B,qwen,FlowPilot,CuAAC
openai,openai,outcome,C-D21BCD,3,valid,valid,1,16.027,Qwen3.6-27B,qwen,FlowPilot,CuAAC
openai,openai,outcome,C-F9B3B8,1,valid,valid,1,15.495,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
openai,openai,outcome,C-F9B3B8,2,valid,valid,1,16.442,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
openai,openai,outcome,C-F9B3B8,3,valid,valid,1,15.264,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
qwen,qwen,assurance,C-0D427C,1,valid,valid,1,18.101,GPT-5.4,openai,One-shot,Hydrogenolysis
qwen,qwen,assurance,C-0D427C,2,valid,valid,1,17.778,GPT-5.4,openai,One-shot,Hydrogenolysis
qwen,qwen,assurance,C-0D427C,3,valid,valid,1,18.808,GPT-5.4,openai,One-shot,Hydrogenolysis
qwen,qwen,assurance,C-0E0B36,1,valid,valid,1,24.296,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
qwen,qwen,assurance,C-0E0B36,2,valid,valid,1,37.164,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
qwen,qwen,assurance,C-0E0B36,3,valid,valid,1,26.722,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
qwen,qwen,assurance,C-318DBB,1,valid,valid,1,20.277,GPT-5.4,openai,One-shot,CuAAC
qwen,qwen,assurance,C-318DBB,2,valid,valid,1,19.1,GPT-5.4,openai,One-shot,CuAAC
qwen,qwen,assurance,C-318DBB,3,valid,valid,1,17.789,GPT-5.4,openai,One-shot,CuAAC
qwen,qwen,assurance,C-3AF023,1,valid,valid,1,28.354,GPT-5.4,openai,FlowPilot,Hydrogenolysis
qwen,qwen,assurance,C-3AF023,2,valid,valid,1,33.054,GPT-5.4,openai,FlowPilot,Hydrogenolysis
qwen,qwen,assurance,C-3AF023,3,valid,valid,1,32.68,GPT-5.4,openai,FlowPilot,Hydrogenolysis
qwen,qwen,assurance,C-5C3C78,1,valid,valid,1,23.589,Qwen3.6-27B,qwen,One-shot,CuAAC
qwen,qwen,assurance,C-5C3C78,2,valid,valid,1,18.148,Qwen3.6-27B,qwen,One-shot,CuAAC
qwen,qwen,assurance,C-5C3C78,3,valid,valid,1,15.596,Qwen3.6-27B,qwen,One-shot,CuAAC
qwen,qwen,assurance,C-5C6BE3,1,valid,valid,1,20.116,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
qwen,qwen,assurance,C-5C6BE3,2,valid,valid,1,22.104,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
qwen,qwen,assurance,C-5C6BE3,3,valid,valid,1,20.055,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
qwen,qwen,assurance,C-80D8E0,1,valid,valid,1,31.906,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
qwen,qwen,assurance,C-80D8E0,2,valid,valid,1,36.199,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
qwen,qwen,assurance,C-80D8E0,3,valid,valid,1,36.01,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
qwen,qwen,assurance,C-9817DC,1,valid,valid,1,29.709,GPT-5.4,openai,FlowPilot,CuAAC
qwen,qwen,assurance,C-9817DC,2,valid,valid,1,31.538,GPT-5.4,openai,FlowPilot,CuAAC
qwen,qwen,assurance,C-9817DC,3,valid,valid,1,26.522,GPT-5.4,openai,FlowPilot,CuAAC
qwen,qwen,assurance,C-C758FC,1,valid,valid,1,20.504,GPT-5.4,openai,One-shot,Two-stage amidation
qwen,qwen,assurance,C-C758FC,2,valid,valid,1,19.064,GPT-5.4,openai,One-shot,Two-stage amidation
qwen,qwen,assurance,C-C758FC,3,valid,valid,1,21.814,GPT-5.4,openai,One-shot,Two-stage amidation
qwen,qwen,assurance,C-C97D43,1,valid,valid,1,32.453,GPT-5.4,openai,FlowPilot,Two-stage amidation
qwen,qwen,assurance,C-C97D43,2,valid,valid,1,34.78,GPT-5.4,openai,FlowPilot,Two-stage amidation
qwen,qwen,assurance,C-C97D43,3,valid,valid,1,32.197,GPT-5.4,openai,FlowPilot,Two-stage amidation
qwen,qwen,assurance,C-D21BCD,1,valid,valid,1,32.09,Qwen3.6-27B,qwen,FlowPilot,CuAAC
qwen,qwen,assurance,C-D21BCD,2,valid,valid,1,30.425,Qwen3.6-27B,qwen,FlowPilot,CuAAC
qwen,qwen,assurance,C-D21BCD,3,valid,valid,1,34.637,Qwen3.6-27B,qwen,FlowPilot,CuAAC
qwen,qwen,assurance,C-F9B3B8,1,valid,valid,1,23.043,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
qwen,qwen,assurance,C-F9B3B8,2,valid,valid,1,23.046,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
qwen,qwen,assurance,C-F9B3B8,3,valid,valid,1,23.018,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
qwen,qwen,outcome,C-0D427C,1,valid,valid,1,27.232,GPT-5.4,openai,One-shot,Hydrogenolysis
qwen,qwen,outcome,C-0D427C,2,valid,valid,1,27.015,GPT-5.4,openai,One-shot,Hydrogenolysis
qwen,qwen,outcome,C-0D427C,3,valid,valid,1,27.023,GPT-5.4,openai,One-shot,Hydrogenolysis
qwen,qwen,outcome,C-0E0B36,1,valid,valid,1,22.384,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
qwen,qwen,outcome,C-0E0B36,2,valid,valid,1,22.354,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
qwen,qwen,outcome,C-0E0B36,3,valid,valid,1,22.359,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
qwen,qwen,outcome,C-318DBB,1,valid,valid,1,14.768,GPT-5.4,openai,One-shot,CuAAC
qwen,qwen,outcome,C-318DBB,2,valid,valid,1,14.766,GPT-5.4,openai,One-shot,CuAAC
qwen,qwen,outcome,C-318DBB,3,valid,valid,1,14.762,GPT-5.4,openai,One-shot,CuAAC
qwen,qwen,outcome,C-3AF023,1,valid,valid,1,29.961,GPT-5.4,openai,FlowPilot,Hydrogenolysis
qwen,qwen,outcome,C-3AF023,2,valid,valid,1,29.966,GPT-5.4,openai,FlowPilot,Hydrogenolysis
qwen,qwen,outcome,C-3AF023,3,valid,valid,1,29.97,GPT-5.4,openai,FlowPilot,Hydrogenolysis
qwen,qwen,outcome,C-5C3C78,1,valid,valid,1,16.307,Qwen3.6-27B,qwen,One-shot,CuAAC
qwen,qwen,outcome,C-5C3C78,2,valid,valid,1,16.294,Qwen3.6-27B,qwen,One-shot,CuAAC
qwen,qwen,outcome,C-5C3C78,3,valid,valid,1,16.287,Qwen3.6-27B,qwen,One-shot,CuAAC
qwen,qwen,outcome,C-5C6BE3,1,valid,valid,1,21.416,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
qwen,qwen,outcome,C-5C6BE3,2,valid,valid,1,31.159,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
qwen,qwen,outcome,C-5C6BE3,3,valid,valid,1,29.251,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
qwen,qwen,outcome,C-80D8E0,1,valid,valid,1,28.868,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
qwen,qwen,outcome,C-80D8E0,2,valid,valid,1,31.911,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
qwen,qwen,outcome,C-80D8E0,3,valid,valid,1,29.559,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
qwen,qwen,outcome,C-9817DC,1,valid,valid,1,22.842,GPT-5.4,openai,FlowPilot,CuAAC
qwen,qwen,outcome,C-9817DC,2,valid,valid,1,23.667,GPT-5.4,openai,FlowPilot,CuAAC
qwen,qwen,outcome,C-9817DC,3,valid,valid,1,23.693,GPT-5.4,openai,FlowPilot,CuAAC
qwen,qwen,outcome,C-C758FC,1,valid,valid,1,23.045,GPT-5.4,openai,One-shot,Two-stage amidation
qwen,qwen,outcome,C-C758FC,2,valid,valid,1,22.918,GPT-5.4,openai,One-shot,Two-stage amidation
qwen,qwen,outcome,C-C758FC,3,valid,valid,1,23.042,GPT-5.4,openai,One-shot,Two-stage amidation
qwen,qwen,outcome,C-C97D43,1,valid,valid,1,25.519,GPT-5.4,openai,FlowPilot,Two-stage amidation
qwen,qwen,outcome,C-C97D43,2,valid,valid,1,30.049,GPT-5.4,openai,FlowPilot,Two-stage amidation
qwen,qwen,outcome,C-C97D43,3,valid,valid,1,25.505,GPT-5.4,openai,FlowPilot,Two-stage amidation
qwen,qwen,outcome,C-D21BCD,1,valid,valid,1,23.828,Qwen3.6-27B,qwen,FlowPilot,CuAAC
qwen,qwen,outcome,C-D21BCD,2,valid,valid,1,24.802,Qwen3.6-27B,qwen,FlowPilot,CuAAC
qwen,qwen,outcome,C-D21BCD,3,valid,valid,1,23.048,Qwen3.6-27B,qwen,FlowPilot,CuAAC
qwen,qwen,outcome,C-F9B3B8,1,valid,valid,1,22.352,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
qwen,qwen,outcome,C-F9B3B8,2,valid,valid,1,26.136,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
qwen,qwen,outcome,C-F9B3B8,3,valid,valid,1,26.064,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
