judge,judge_family,candidate_id,track,generator_model,generator_family,architecture,case,repeat,weighted_score
claude,anthropic,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,1,77.5
claude,anthropic,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,2,82.5
claude,anthropic,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,3,73.75
claude,anthropic,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1,52.5
claude,anthropic,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,2,52.5
claude,anthropic,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,3,57.49999999999999
claude,anthropic,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,1,61.25000000000001
claude,anthropic,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,2,61.25000000000001
claude,anthropic,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,3,61.25000000000001
claude,anthropic,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,1,37.5
claude,anthropic,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,2,37.5
claude,anthropic,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,3,37.5
claude,anthropic,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1,48.75
claude,anthropic,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,2,48.75
claude,anthropic,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,3,48.75
claude,anthropic,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,1,62.5
claude,anthropic,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,2,62.5
claude,anthropic,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,3,62.5
claude,anthropic,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,1,56.25
claude,anthropic,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,2,56.25
claude,anthropic,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,3,56.25
claude,anthropic,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,1,52.5
claude,anthropic,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,2,48.75
claude,anthropic,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,3,48.75
claude,anthropic,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1,58.75
claude,anthropic,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,2,53.75
claude,anthropic,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,3,50.0
claude,anthropic,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,1,48.75
claude,anthropic,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,2,48.75
claude,anthropic,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,3,48.75
openai,openai,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,1,57.49999999999999
openai,openai,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,2,53.75
openai,openai,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,3,57.49999999999999
openai,openai,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,1,21.25
openai,openai,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,2,21.25
openai,openai,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,3,21.25
openai,openai,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,1,46.25
openai,openai,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,2,42.5
openai,openai,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,3,46.25
openai,openai,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1,46.25
openai,openai,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,2,53.75
openai,openai,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,3,46.25
openai,openai,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,1,17.5
openai,openai,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,2,22.5
openai,openai,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,3,30.0
openai,openai,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,1,21.25
openai,openai,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,2,17.5
openai,openai,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,3,21.25
openai,openai,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1,37.5
openai,openai,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,2,25.0
openai,openai,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,3,32.5
openai,openai,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,1,57.49999999999999
openai,openai,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,2,42.5
openai,openai,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,3,53.75
openai,openai,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,1,37.5
openai,openai,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,2,46.25
openai,openai,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,3,37.5
openai,openai,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,1,32.5
openai,openai,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,2,28.749999999999996
openai,openai,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,3,45.0
openai,openai,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1,50.0
openai,openai,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,2,50.0
openai,openai,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,3,57.49999999999999
openai,openai,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,1,28.749999999999996
openai,openai,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,2,28.749999999999996
openai,openai,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,3,28.749999999999996
openai,openai,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,1,82.5
openai,openai,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,2,78.75
openai,openai,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,3,78.75
openai,openai,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,1,48.75
openai,openai,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,2,57.49999999999999
openai,openai,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,3,48.75
openai,openai,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,1,68.75
openai,openai,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,2,63.74999999999999
openai,openai,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,3,63.74999999999999
openai,openai,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1,78.75
openai,openai,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,2,78.75
openai,openai,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,3,78.75
openai,openai,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,1,57.49999999999999
openai,openai,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,2,57.49999999999999
openai,openai,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,3,48.75
openai,openai,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,1,46.25
openai,openai,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,2,42.50000000000001
openai,openai,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,3,38.75
openai,openai,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1,66.25
openai,openai,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,2,70.0
openai,openai,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,3,66.25
openai,openai,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,1,80.0
openai,openai,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,2,85.0
openai,openai,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,3,80.0
openai,openai,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,1,61.24999999999999
openai,openai,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,2,61.24999999999999
openai,openai,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,3,68.75
openai,openai,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,1,56.25
openai,openai,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,2,52.5
openai,openai,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,3,56.25
openai,openai,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1,55.00000000000001
openai,openai,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,2,58.75
openai,openai,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,3,48.75
openai,openai,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,1,53.75
openai,openai,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,2,53.75
openai,openai,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,3,53.75
qwen,qwen,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,1,50.0
qwen,qwen,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,2,50.0
qwen,qwen,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,3,50.0
qwen,qwen,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,1,12.5
qwen,qwen,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,2,16.25
qwen,qwen,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,3,3.75
qwen,qwen,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,1,96.25
qwen,qwen,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,2,96.25
qwen,qwen,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,3,96.25
qwen,qwen,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1,37.5
qwen,qwen,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,2,37.5
qwen,qwen,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,3,37.5
qwen,qwen,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,1,71.25
qwen,qwen,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,2,91.25
qwen,qwen,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,3,91.25
qwen,qwen,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,1,7.5
qwen,qwen,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,2,7.5
qwen,qwen,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,3,7.5
qwen,qwen,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1,36.25
qwen,qwen,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,2,37.5
qwen,qwen,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,3,37.5
qwen,qwen,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,1,37.5
qwen,qwen,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,2,37.5
qwen,qwen,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,3,36.25
qwen,qwen,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,1,96.25
qwen,qwen,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,2,96.25
qwen,qwen,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,3,96.25
qwen,qwen,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,1,27.500000000000004
qwen,qwen,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,2,32.5
qwen,qwen,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,3,37.5
qwen,qwen,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1,36.25
qwen,qwen,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,2,36.25
qwen,qwen,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,3,36.25
qwen,qwen,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,1,32.5
qwen,qwen,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,2,32.5
qwen,qwen,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,3,32.5
qwen,qwen,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,1,86.25
qwen,qwen,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,2,86.25
qwen,qwen,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,3,86.25
qwen,qwen,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,1,100.0
qwen,qwen,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,2,100.0
qwen,qwen,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,3,100.0
qwen,qwen,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,1,100.0
qwen,qwen,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,2,100.0
qwen,qwen,C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,3,100.0
qwen,qwen,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1,73.75
qwen,qwen,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,2,73.75
qwen,qwen,C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,3,73.75
qwen,qwen,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,1,100.0
qwen,qwen,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,2,100.0
qwen,qwen,C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,3,100.0
qwen,qwen,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,1,55.00000000000001
qwen,qwen,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,2,51.24999999999999
qwen,qwen,C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,3,62.5
qwen,qwen,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1,58.75
qwen,qwen,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,2,73.75
qwen,qwen,C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,3,62.5
qwen,qwen,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,1,96.25
qwen,qwen,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,2,96.25
qwen,qwen,C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,3,96.25
qwen,qwen,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,1,81.25
qwen,qwen,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,2,81.25
qwen,qwen,C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,3,81.25
qwen,qwen,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,1,57.49999999999999
qwen,qwen,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,2,80.0
qwen,qwen,C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,3,68.75
qwen,qwen,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1,96.25
qwen,qwen,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,2,96.25
qwen,qwen,C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,3,96.25
qwen,qwen,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,1,100.0
qwen,qwen,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,2,91.25
qwen,qwen,C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,3,91.25
