model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
GPT-4o,One-shot,CuAAC,reactor_volume_mL,1,0.3,0.0,0.0,0.3,0.3
GPT-4o,One-shot,CuAAC,residence_time_min,1,0.1,0.0,0.0,0.1,0.1
GPT-4o,One-shot,CuAAC,temperature_C,1,150.0,0.0,0.0,150.0,150.0
GPT-4o,One-shot,Hydrogenolysis,BPR_bar,1,21.0,0.0,0.0,21.0,21.0
GPT-4o,One-shot,Hydrogenolysis,concentration_M,1,0.126,0.0,0.0,0.126,0.126
GPT-4o,One-shot,Hydrogenolysis,flow_rate_mL_min,1,2.0,0.0,0.0,2.0,2.0
GPT-4o,One-shot,Hydrogenolysis,reactor_volume_mL,1,3.0,0.0,0.0,3.0,3.0
GPT-4o,One-shot,Hydrogenolysis,residence_time_min,1,1.5,0.0,0.0,1.5,1.5
GPT-4o,One-shot,Hydrogenolysis,temperature_C,1,60.0,0.0,0.0,60.0,60.0
GPT-4o,One-shot,Photochemical oxidation,BPR_bar,1,3.0,0.0,0.0,3.0,3.0
GPT-4o,One-shot,Photochemical oxidation,concentration_M,1,0.1,0.0,0.0,0.1,0.1
GPT-4o,One-shot,Photochemical oxidation,flow_rate_mL_min,1,1.0,0.0,0.0,1.0,1.0
GPT-4o,One-shot,Photochemical oxidation,reactor_volume_mL,1,1.0,0.0,0.0,1.0,1.0
GPT-4o,One-shot,Photochemical oxidation,residence_time_min,1,1.0,0.0,0.0,1.0,1.0
GPT-4o,One-shot,Photochemical oxidation,temperature_C,1,21.0,0.0,0.0,21.0,21.0
