candidate_id,case,condition,condition_id,repeat_id,candidate_budget,runtime_s,llm_call_count,prompt_tokens,completion_tokens,deterministic_score,schema_valid,deployment_gate_count,executable,blocked,residence_time_min,flow_rate_mL_min,reactor_volume_mL,execution_config
N2-272F04B8,Hydrogenolysis,Without DFMEA,qwen38_minus_dfmea,repeat_01,2,422.964,15,101802,18025,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""minus_dfmea"", ""enable_chief_llm"": true, ""enable_dfmea"": false, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-ECB8C867,Hydrogenolysis,One-pass council,qwen38_round_1,repeat_01,2,288.084,11,71109,12217,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""round_1"", ""enable_chief_llm"": true, ""enable_dfmea"": false, ""enable_preselection_refinement"": false, ""enable_skeptic"": false, ""enable_winner_revision"": false, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-FE64371F,Hydrogenolysis,Candidate budget 1,qwen38_budget_1,repeat_01,1,348.623,17,106352,14652,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""budget_1"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-0F87F7B1,Hydrogenolysis,Candidate budget 4,qwen38_budget_4,repeat_01,4,723.77,24,175159,30664,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""budget_4"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-D9414DDD,Photochemical oxidation,One-shot,qwen38_one_shot,repeat_01,2,49.896,1,1833,2147,1.0,True,0,False,False,2.0,0.5,1.0,
N2-6383A78C,Photochemical oxidation,No council,qwen38_no_council,repeat_01,2,56.685,3,13192,2233,0.9796,True,0,False,False,5.0,0.12427,1.0,
N2-A408B878,Photochemical oxidation,Full FlowPilot,qwen38_full,repeat_01,2,102.332,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""full"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-B6D3483C,Photochemical oxidation,Without Chemistry agent,qwen38_minus_chemistry,repeat_01,2,97.408,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""minus_chemistry"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""kinetics"", ""fluidics"", ""safety""]}"
N2-1189749E,Photochemical oxidation,Without Kinetics agent,qwen38_minus_kinetics,repeat_01,2,97.357,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""minus_kinetics"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""fluidics"", ""safety""]}"
N2-085A1DAD,Photochemical oxidation,Without Fluidics agent,qwen38_minus_fluidics,repeat_01,2,97.557,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""minus_fluidics"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""safety""]}"
N2-04FBF1E1,Photochemical oxidation,Without Safety agent,qwen38_minus_safety,repeat_01,2,97.41,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""minus_safety"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics""]}"
N2-D01AD9FC,Photochemical oxidation,Without Skeptic audit,qwen38_minus_skeptic,repeat_01,2,97.33,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""minus_skeptic"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": false, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-29C768EC,Photochemical oxidation,Without preselection refinement,qwen38_minus_preselection,repeat_01,2,97.602,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""minus_preselection"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": false, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-8FABB80B,Photochemical oxidation,Without winner revision,qwen38_minus_winner_revision,repeat_01,2,98.031,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""minus_winner_revision"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": false, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-5345BB9E,Photochemical oxidation,Deterministic selection,qwen38_deterministic_chief,repeat_01,2,97.729,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""deterministic_chief"", ""enable_chief_llm"": false, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-F8C892E9,Photochemical oxidation,Without DFMEA,qwen38_minus_dfmea,repeat_01,2,97.729,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""minus_dfmea"", ""enable_chief_llm"": true, ""enable_dfmea"": false, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-D78314D3,Photochemical oxidation,One-pass council,qwen38_round_1,repeat_01,2,97.639,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""round_1"", ""enable_chief_llm"": true, ""enable_dfmea"": false, ""enable_preselection_refinement"": false, ""enable_skeptic"": false, ""enable_winner_revision"": false, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-BB50F0EC,Photochemical oxidation,Candidate budget 1,qwen38_budget_1,repeat_01,1,97.896,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""budget_1"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-BA251D11,Photochemical oxidation,Candidate budget 4,qwen38_budget_4,repeat_01,4,97.776,6,26884,4172,1.0,True,0,True,False,3.218746,0.31068,1.0,"{""condition_id"": ""budget_4"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-70AC5DB5,CuAAC,One-shot,qwen38_one_shot,repeat_01,2,41.754,1,1300,1800,1.0,True,0,False,False,3.0,0.1,0.3,
N2-608A173E,CuAAC,No council,qwen38_no_council,repeat_01,2,53.615,3,10603,2179,1.0,True,0,False,False,0.6,0.5,0.3,
N2-1EB38B62,CuAAC,Full FlowPilot,qwen38_full,repeat_01,2,447.337,18,98310,18523,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""full"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-8E05DB29,CuAAC,Without Chemistry agent,qwen38_minus_chemistry,repeat_01,2,371.693,16,85423,15753,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""minus_chemistry"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""kinetics"", ""fluidics"", ""safety""]}"
N2-10DB3001,CuAAC,Without Kinetics agent,qwen38_minus_kinetics,repeat_01,2,353.364,16,84066,14974,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""minus_kinetics"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""fluidics"", ""safety""]}"
N2-E2AF5B62,CuAAC,Without Fluidics agent,qwen38_minus_fluidics,repeat_01,2,250.04,12,60798,10483,0.9643,True,0,True,False,2.0,0.15,0.3,"{""condition_id"": ""minus_fluidics"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""safety""]}"
N2-7E85C8D7,CuAAC,Without Safety agent,qwen38_minus_safety,repeat_01,2,358.871,16,84437,15231,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""minus_safety"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics""]}"
N2-05394A1C,CuAAC,Without Skeptic audit,qwen38_minus_skeptic,repeat_01,2,435.428,18,98236,18484,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""minus_skeptic"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": false, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-5C73A256,CuAAC,Without preselection refinement,qwen38_minus_preselection,repeat_01,2,296.908,14,74550,12526,0.9643,True,0,True,False,2.0,0.15,0.3,"{""condition_id"": ""minus_preselection"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": false, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-C68D2228,CuAAC,Without winner revision,qwen38_minus_winner_revision,repeat_01,2,429.698,17,94060,18334,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""minus_winner_revision"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": false, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-66842DD5,CuAAC,Deterministic selection,qwen38_deterministic_chief,repeat_01,2,405.312,17,92013,17174,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""deterministic_chief"", ""enable_chief_llm"": false, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-87975EE8,CuAAC,Without DFMEA,qwen38_minus_dfmea,repeat_01,2,424.191,17,93603,18002,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""minus_dfmea"", ""enable_chief_llm"": true, ""enable_dfmea"": false, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-0993A2F2,CuAAC,One-pass council,qwen38_round_1,repeat_01,2,266.899,12,65232,11264,0.9643,True,0,True,False,2.0,0.15,0.3,"{""condition_id"": ""round_1"", ""enable_chief_llm"": true, ""enable_dfmea"": false, ""enable_preselection_refinement"": false, ""enable_skeptic"": false, ""enable_winner_revision"": false, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-D9EF5B93,CuAAC,Candidate budget 1,qwen38_budget_1,repeat_01,1,238.602,14,68630,10021,0.9643,True,0,True,False,2.700027,0.11111,0.3,"{""condition_id"": ""budget_1"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-2683E725,CuAAC,Candidate budget 4,qwen38_budget_4,repeat_01,4,714.284,26,152997,30229,0.9643,True,0,True,False,2.200059,0.13636,0.3,"{""condition_id"": ""budget_4"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
