model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
GPT-5.2,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-5.2,One-shot,Hydrogenolysis,flow_rate_mL_min,3,0.43333333,0.11547005,26.6469,0.3,0.5
GPT-5.2,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-5.2,One-shot,Hydrogenolysis,residence_time_min,3,7.33333333,2.30940108,31.4918,6.0,10.0
GPT-5.2,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-5.2,One-shot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
GPT-5.2,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-5.2,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.2,0.0,0.0,0.2,0.2
GPT-5.2,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-5.2,One-shot,Photochemical oxidation,residence_time_min,3,5.0,0.0,0.0,5.0,5.0
GPT-5.2,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
GPT-5.4 mini,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-5.4 mini,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
GPT-5.4 mini,FlowPilot,CuAAC,flow_rate_mL_min,3,0.23703667,0.22780067,96.1036,0.1,0.5
GPT-5.4 mini,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-5.4 mini,FlowPilot,CuAAC,residence_time_min,3,2.100009,1.30767588,62.27,0.6,3.0
GPT-5.4 mini,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-5.4 mini,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.13895333,0.06746915,48.5553,0.1,0.21686
GPT-5.4 mini,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,residence_time_min,3,24.61127,9.33355415,37.9239,13.83381,30.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-5.4 mini,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.33497333,0.04207729,12.5614,0.31068,0.38356
GPT-5.4 mini,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,residence_time_min,3,3.014882,0.35310281,11.712,2.607154,3.218746
GPT-5.4 mini,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
GPT-5.4 mini,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-5.4 mini,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
GPT-5.4 mini,One-shot,CuAAC,flow_rate_mL_min,3,0.07666667,0.04041452,52.7146,0.03,0.1
GPT-5.4 mini,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-5.4 mini,One-shot,CuAAC,residence_time_min,3,5.33333333,4.04145188,75.7772,3.0,10.0
GPT-5.4 mini,One-shot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
GPT-5.4 mini,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
GPT-5.4 mini,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-5.4 mini,One-shot,Hydrogenolysis,flow_rate_mL_min,3,0.80333333,1.05452991,131.2693,0.01,2.0
GPT-5.4 mini,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-5.4 mini,One-shot,Hydrogenolysis,residence_time_min,3,2.69333333,4.16504902,154.6429,0.15,7.5
GPT-5.4 mini,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-5.4 mini,One-shot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
GPT-5.4 mini,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-5.4 mini,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.38333333,0.53463383,139.4697,0.05,1.0
GPT-5.4 mini,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-5.4 mini,One-shot,Photochemical oxidation,residence_time_min,3,10.33333333,9.50438495,91.9779,1.0,20.0
GPT-5.4 mini,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
GPT-5.5,FlowPilot,CuAAC,BPR_bar,2,20.0,0.0,0.0,20.0,20.0
GPT-5.5,FlowPilot,CuAAC,concentration_M,2,0.25,0.0,0.0,0.25,0.25
GPT-5.5,FlowPilot,CuAAC,flow_rate_mL_min,2,0.15,0.0,0.0,0.15,0.15
GPT-5.5,FlowPilot,CuAAC,reactor_volume_mL,2,0.3,0.0,0.0,0.3,0.3
GPT-5.5,FlowPilot,CuAAC,residence_time_min,2,2.0,0.0,0.0,2.0,2.0
GPT-5.5,FlowPilot,CuAAC,temperature_C,2,150.0,0.0,0.0,150.0,150.0
GPT-5.5,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
GPT-5.5,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-5.5,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.31138,0.32408403,104.0799,0.12427,0.6856
GPT-5.5,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-5.5,FlowPilot,Photochemical oxidation,residence_time_min,3,5.85085467,3.80382491,65.0131,1.458576,8.046994
GPT-5.5,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
GPT-5.5,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-5.5,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
GPT-5.5,One-shot,CuAAC,flow_rate_mL_min,3,0.1,0.0,0.0,0.1,0.1
GPT-5.5,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-5.5,One-shot,CuAAC,residence_time_min,3,3.0,0.0,0.0,3.0,3.0
GPT-5.5,One-shot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
GPT-5.5,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
GPT-5.5,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-5.5,One-shot,Hydrogenolysis,flow_rate_mL_min,3,0.1,0.0,0.0,0.1,0.1
GPT-5.5,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-5.5,One-shot,Hydrogenolysis,residence_time_min,3,26.29333333,6.42013499,24.4173,18.88,30.0
GPT-5.5,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-5.5,One-shot,Photochemical oxidation,BPR_bar,1,3.0,0.0,0.0,3.0,3.0
GPT-5.5,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-5.5,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.16666667,0.05773503,34.641,0.1,0.2
GPT-5.5,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-5.5,One-shot,Photochemical oxidation,residence_time_min,3,6.66666667,2.88675135,43.3013,5.0,10.0
GPT-5.5,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
