model,architecture,case,repeat_id,parameter,value
GPT-5.2,One-shot,CuAAC,repeat_03,temperature_C,120.0
GPT-5.2,One-shot,CuAAC,repeat_03,BPR_bar,20.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_01,residence_time_min,29.997
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.10001
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_01,temperature_C,60.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_01,concentration_M,0.126
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_01,BPR_bar,21.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_02,residence_time_min,30.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.1
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_02,temperature_C,60.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_02,concentration_M,0.126
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_02,BPR_bar,21.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_03,residence_time_min,29.997
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.10001
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_03,temperature_C,60.0
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_03,concentration_M,0.126
GPT-5.2,FlowPilot,Hydrogenolysis,repeat_03,BPR_bar,21.0
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_02,residence_time_min,16.207455
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.0617
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_02,BPR_bar,3.0
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_03,residence_time_min,1.458576
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.6856
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.2,FlowPilot,Photochemical oxidation,repeat_03,BPR_bar,3.0
GPT-5.2,FlowPilot,CuAAC,repeat_01,residence_time_min,2.0
GPT-5.2,FlowPilot,CuAAC,repeat_01,flow_rate_mL_min,0.15
GPT-5.2,FlowPilot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.2,FlowPilot,CuAAC,repeat_01,temperature_C,150.0
GPT-5.2,FlowPilot,CuAAC,repeat_01,concentration_M,0.25
GPT-5.2,FlowPilot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.2,FlowPilot,CuAAC,repeat_02,residence_time_min,2.700027
GPT-5.2,FlowPilot,CuAAC,repeat_02,flow_rate_mL_min,0.11111
GPT-5.2,FlowPilot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.2,FlowPilot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.2,FlowPilot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.2,FlowPilot,CuAAC,repeat_02,BPR_bar,20.0
GPT-5.2,FlowPilot,CuAAC,repeat_03,residence_time_min,3.0
GPT-5.2,FlowPilot,CuAAC,repeat_03,flow_rate_mL_min,0.1
GPT-5.2,FlowPilot,CuAAC,repeat_03,reactor_volume_mL,0.3
GPT-5.2,FlowPilot,CuAAC,repeat_03,temperature_C,150.0
GPT-5.2,FlowPilot,CuAAC,repeat_03,concentration_M,0.25
GPT-5.2,FlowPilot,CuAAC,repeat_03,BPR_bar,20.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_01,residence_time_min,0.15
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.01
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_01,temperature_C,60.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_01,concentration_M,0.126
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_01,BPR_bar,21.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_02,residence_time_min,0.43
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_02,flow_rate_mL_min,2.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_02,temperature_C,60.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_02,concentration_M,0.126
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_02,BPR_bar,21.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_03,residence_time_min,7.5
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.4
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_03,temperature_C,60.0
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_03,concentration_M,0.126
GPT-5.4 mini,One-shot,Hydrogenolysis,repeat_03,BPR_bar,21.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_01,residence_time_min,20.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.05
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_01,temperature_C,21.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_01,concentration_M,0.1
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_01,BPR_bar,3.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_02,residence_time_min,1.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_02,flow_rate_mL_min,1.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_02,BPR_bar,3.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_03,residence_time_min,10.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.1
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.4 mini,One-shot,Photochemical oxidation,repeat_03,BPR_bar,3.0
GPT-5.4 mini,One-shot,CuAAC,repeat_01,residence_time_min,10.0
GPT-5.4 mini,One-shot,CuAAC,repeat_01,flow_rate_mL_min,0.03
GPT-5.4 mini,One-shot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.4 mini,One-shot,CuAAC,repeat_01,temperature_C,150.0
GPT-5.4 mini,One-shot,CuAAC,repeat_01,concentration_M,0.25
GPT-5.4 mini,One-shot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.4 mini,One-shot,CuAAC,repeat_02,residence_time_min,3.0
GPT-5.4 mini,One-shot,CuAAC,repeat_02,flow_rate_mL_min,0.1
GPT-5.4 mini,One-shot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.4 mini,One-shot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.4 mini,One-shot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.4 mini,One-shot,CuAAC,repeat_02,BPR_bar,20.0
GPT-5.4 mini,One-shot,CuAAC,repeat_03,residence_time_min,3.0
GPT-5.4 mini,One-shot,CuAAC,repeat_03,flow_rate_mL_min,0.1
GPT-5.4 mini,One-shot,CuAAC,repeat_03,reactor_volume_mL,0.3
GPT-5.4 mini,One-shot,CuAAC,repeat_03,temperature_C,150.0
GPT-5.4 mini,One-shot,CuAAC,repeat_03,concentration_M,0.25
GPT-5.4 mini,One-shot,CuAAC,repeat_03,BPR_bar,20.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_01,residence_time_min,30.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.1
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_01,temperature_C,60.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_01,concentration_M,0.126
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_01,BPR_bar,21.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_02,residence_time_min,30.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.1
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_02,temperature_C,60.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_02,concentration_M,0.126
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_02,BPR_bar,21.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_03,residence_time_min,13.83381
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.21686
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_03,temperature_C,60.0
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_03,concentration_M,0.126
GPT-5.4 mini,FlowPilot,Hydrogenolysis,repeat_03,BPR_bar,21.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_01,residence_time_min,3.218746
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.31068
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_01,temperature_C,21.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_01,concentration_M,0.1
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_01,BPR_bar,3.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_02,residence_time_min,3.218746
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.31068
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_02,BPR_bar,3.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_03,residence_time_min,2.607154
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.38356
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.4 mini,FlowPilot,Photochemical oxidation,repeat_03,BPR_bar,3.0
GPT-5.4 mini,FlowPilot,CuAAC,repeat_01,residence_time_min,2.700027
GPT-5.4 mini,FlowPilot,CuAAC,repeat_01,flow_rate_mL_min,0.11111
GPT-5.4 mini,FlowPilot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.4 mini,FlowPilot,CuAAC,repeat_01,temperature_C,150.0
GPT-5.4 mini,FlowPilot,CuAAC,repeat_01,concentration_M,0.25
GPT-5.4 mini,FlowPilot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.4 mini,FlowPilot,CuAAC,repeat_02,residence_time_min,0.6
GPT-5.4 mini,FlowPilot,CuAAC,repeat_02,flow_rate_mL_min,0.5
GPT-5.4 mini,FlowPilot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.4 mini,FlowPilot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.4 mini,FlowPilot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.4 mini,FlowPilot,CuAAC,repeat_02,BPR_bar,20.0
GPT-5.4 mini,FlowPilot,CuAAC,repeat_03,residence_time_min,3.0
GPT-5.4 mini,FlowPilot,CuAAC,repeat_03,flow_rate_mL_min,0.1
GPT-5.4 mini,FlowPilot,CuAAC,repeat_03,reactor_volume_mL,0.3
GPT-5.4 mini,FlowPilot,CuAAC,repeat_03,temperature_C,150.0
GPT-5.4 mini,FlowPilot,CuAAC,repeat_03,concentration_M,0.25
GPT-5.4 mini,FlowPilot,CuAAC,repeat_03,BPR_bar,20.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_01,residence_time_min,30.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.1
GPT-5.5,One-shot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_01,temperature_C,60.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_01,concentration_M,0.126
GPT-5.5,One-shot,Hydrogenolysis,repeat_01,BPR_bar,21.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_02,residence_time_min,30.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.1
GPT-5.5,One-shot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_02,temperature_C,60.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_02,concentration_M,0.126
GPT-5.5,One-shot,Hydrogenolysis,repeat_02,BPR_bar,21.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_03,residence_time_min,18.88
GPT-5.5,One-shot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.1
GPT-5.5,One-shot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_03,temperature_C,60.0
GPT-5.5,One-shot,Hydrogenolysis,repeat_03,concentration_M,0.126
GPT-5.5,One-shot,Hydrogenolysis,repeat_03,BPR_bar,21.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_01,residence_time_min,10.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.1
GPT-5.5,One-shot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_01,temperature_C,21.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_01,concentration_M,0.1
GPT-5.5,One-shot,Photochemical oxidation,repeat_01,BPR_bar,3.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_02,residence_time_min,5.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.2
GPT-5.5,One-shot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.5,One-shot,Photochemical oxidation,repeat_03,residence_time_min,5.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.2
GPT-5.5,One-shot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.5,One-shot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.5,One-shot,CuAAC,repeat_01,residence_time_min,3.0
GPT-5.5,One-shot,CuAAC,repeat_01,flow_rate_mL_min,0.1
GPT-5.5,One-shot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.5,One-shot,CuAAC,repeat_01,temperature_C,150.0
GPT-5.5,One-shot,CuAAC,repeat_01,concentration_M,0.25
GPT-5.5,One-shot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.5,One-shot,CuAAC,repeat_02,residence_time_min,3.0
GPT-5.5,One-shot,CuAAC,repeat_02,flow_rate_mL_min,0.1
GPT-5.5,One-shot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.5,One-shot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.5,One-shot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.5,One-shot,CuAAC,repeat_02,BPR_bar,20.0
GPT-5.5,One-shot,CuAAC,repeat_03,residence_time_min,3.0
GPT-5.5,One-shot,CuAAC,repeat_03,flow_rate_mL_min,0.1
GPT-5.5,One-shot,CuAAC,repeat_03,reactor_volume_mL,0.3
GPT-5.5,One-shot,CuAAC,repeat_03,temperature_C,150.0
GPT-5.5,One-shot,CuAAC,repeat_03,concentration_M,0.25
GPT-5.5,One-shot,CuAAC,repeat_03,BPR_bar,20.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_01,residence_time_min,8.046994
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.12427
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_01,temperature_C,21.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_01,concentration_M,0.1
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_01,BPR_bar,3.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_02,residence_time_min,1.458576
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.6856
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_02,BPR_bar,3.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_03,residence_time_min,8.046994
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.12427
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.5,FlowPilot,Photochemical oxidation,repeat_03,BPR_bar,3.0
GPT-5.5,FlowPilot,CuAAC,repeat_01,residence_time_min,2.0
GPT-5.5,FlowPilot,CuAAC,repeat_01,flow_rate_mL_min,0.15
GPT-5.5,FlowPilot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.5,FlowPilot,CuAAC,repeat_01,temperature_C,150.0
GPT-5.5,FlowPilot,CuAAC,repeat_01,concentration_M,0.25
GPT-5.5,FlowPilot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.5,FlowPilot,CuAAC,repeat_02,residence_time_min,2.0
GPT-5.5,FlowPilot,CuAAC,repeat_02,flow_rate_mL_min,0.15
GPT-5.5,FlowPilot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.5,FlowPilot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.5,FlowPilot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.5,FlowPilot,CuAAC,repeat_02,BPR_bar,20.0
